lon,lat,pop,emp
3952496.55507508,2279709.64006509,2372.55582572056,1777
3952272.49902342,2280359.54889535,2770.25251237526,3739
3952698.41401899,2280078.57316157,2333.5811674441,1224
3952434.99781439,2280046.30012216,2890.30845368814,3487
3952127.66733932,2280025.57263712,2529.81563808193,1956
3951842.9684007,2280369.28928086,2269.49960087913,903
3952880.30627919,2280214.89666527,3217.04064003028,3644
3952571.71662334,2279264.68798526,2184.66828471281,1196
3951553.98684347,2279689.01860665,2509.20152550394,499
3951841.26084763,2279795.08534578,3945.86171588342,3259
3952053.34927314,2278816.08861534,3213.50124542846,2785
3952525.75245366,2278588.26387705,3249.55994500124,0
3953031.9156066,2278578.95298176,2644.84851598697,864
3953941.99848317,2278554.16701417,2818.97618454177,534
3951604.44251808,2278980.45453144,2543.10231697315,1506
3951330.85242141,2278848.28896034,2087.83736907115,203
3953304.74244541,2278755.88838503,2259.10186853751,265
3953673.9151168,2279439.14116792,3067.34227804681,848
3953391.14617107,2280454.6212636,2830.07668556543,840
3953795.30035501,2280881.28896785,2127.08899607405,85
3954968.9703997,2281588.21840421,1844.24967178678,269
3952470.47060015,2280988.50223801,1683.83793094086,956
3952503.24327302,2281527.03459551,1899.0582469046,521
3951665.12882494,2280920.23278181,2043.70955948529,0
3952911.01078609,2282245.11949425,3613.93132322361,128
3951913.68449962,2282218.90571626,2008.95145299305,86
3951474.20090586,2281796.07179832,2066.65021667752,83
3950903.66534353,2279321.60505628,1838.77644186461,535
3951117.57598829,2279340.20301638,2197.37631817943,752
3950931.3893534,2279384.29398921,2139.71199685942,433
3951050.29524685,2279767.76393692,1877.22664809047,410
3951241.93480732,2280657.01967618,2074.71625074737,730
3950969.55738134,2280112.89759791,2639.88910649158,1038
3950140.30940478,2280171.10278483,2197.79133383975,915
3950210.90192288,2279527.49709898,2740.72667527277,452
3949530.89308849,2279682.10947858,2146.33024057121,518
3949676.50392293,2279923.15226344,1596.04485111064,48
3949489.34009835,2280253.25789198,2330.7263664617,90
3949559.43487056,2280628.96978551,1542.2667108924,56
3947203.54538755,2281534.67886089,3062.29902655422,437
3950063.13818978,2280809.0600981,2743.20188689488,882
3949480.23730263,2281829.96079849,2099.8255010969,419
3948789.68131308,2280860.05535958,2475.02606179457,383
3953104.9616109,2284819.26083857,2968.769283911,386
3949104.64697497,2288373.02384965,2713.03147273426,341
3950697.87083614,2286213.4199252,4039.08587024117,817
3949393.29477362,2284321.68483362,4325.32697580689,1250
3950944.95567455,2278161.14214584,4305.25760511722,3405
3951032.70296796,2276118.14087366,3657.22304627467,1136
3949506.77857058,2275176.5907288,4286.05111368822,1185
3946675.03588101,2277672.87302847,2565.71949381831,1509
3946773.75428455,2275353.15802057,1427.40558692469,22237
3941607.65920489,2276619.75854593,4114.32532656187,8434
3947430.10440161,2278950.86859976,3539.25963664201,1890
3957247.0406856,2261584.14424619,4156.03751537079,206
3953869.54432256,2261641.63525276,4116.68202272283,104
3953762.97286646,2259203.51898454,2833.35453087225,748
3953021.89558045,2259005.97894814,2696.84167641793,601
3952712.47021926,2258059.43473096,3718.24959177613,208
3956014.40416056,2257858.590705,3810.83466284007,864
3960754.00574424,2253157.33663878,2671.26506788938,412
3960708.28597339,2253586.29105351,3847.49286311959,2697
3961544.26456341,2253287.31230847,3467.58351956029,48
3961226.58550799,2252819.38429539,3143.44343415318,356
3960843.96303459,2254206.97085633,2563.57689851508,321
3961830.60584818,2253282.18826136,1898.92256906188,824
3960219.36355467,2252466.39897362,2631.72772701799,391
3960106.25029089,2253489.39718915,2142.75429125107,1585
3959630.33018607,2253950.6710692,2421.90771399972,258
3959365.52954445,2252404.45217464,1386.34082033534,41
3959194.20135435,2252843.42305144,2035.57233274093,251
3959595.84097523,2250604.79244763,3330.13310435278,959
3958281.28587133,2252155.82383363,2411.70910034544,226
3959057.35402132,2251935.08017538,2234.95690782216,31
3961105.58126079,2256343.95948053,3061.57323669442,166
3958715.17909529,2255762.46733525,2413.04408398929,662
3957597.48135918,2252750.39359081,801.15428429739,3550
3963118.13831703,2252932.78142529,196.169989356082,9767
3962954.68931136,2255137.88952481,2234.59107110907,599
3962250.85390548,2256062.57885567,516.080984388926,1201
3966529.68563786,2261542.08455549,2352.27702862304,424
3969053.94046665,2262061.04630915,3266.11381606576,438
3968676.27056888,2259048.011819,3132.98223963469,99
3966314.77792788,2262615.67396501,2786.62691567651,131
3933939.827551,2291241.63848017,814,0
3960225.20035948,2278847.59774957,578,0
3962704.21701414,2267591.54602736,1905.99999999999,0
3929295.25741741,2275807.47017486,2438.80794358343,888
3929394.20189499,2276690.34224578,2839.77275443046,352
3930080.15287232,2276226.46462481,3470.96511536293,167
3928898.51112543,2277385.06684489,2570.60358793495,334
3931136.7914092,2278636.97367758,125.846213031585,1063
3928287.90078714,2279043.30627282,2031.00438565665,1749
3947756.44441442,2269775.20945409,2813.81383750716,2526
3949858.35897531,2270652.63725254,2738.47862823218,281
3950605.15399606,2271500.66792532,3111.69219689406,204
3948341.85563931,2271976.69825805,2303.43643048766,654
3949962.98336952,2272968.64305329,3383.57890687895,477
3965462.30464842,2264679.6512704,6079,0
3943023.52804979,2274529.23262618,2157.73247966497,0
3943573.676989,2271454.07320457,4218.22872682572,0
3945984.30006215,2270331.48535054,3251.03879350932,0
3958384.86148371,2264792.75581529,2158,0
3926459.62733653,2259828.21202219,1942.20628571337,0
3927637.36545934,2259983.1574611,2055.09023996623,0
3927965.33120275,2260211.14877791,1893.70347432042,0
3927101.71534077,2261812.82543894,0,0
3956924.51375156,2244431.5532545,1301,0
3957293.09629535,2245350.21355626,1764,0
3958358.08085126,2245019.96374911,2019,0
3958922.16058304,2245889.22308727,2137,0
3965706.35822075,2245425.55289371,4489,0
3961883.94106084,2275346.84266569,2172,0
3929769.58811372,2265710.5937282,5224.44745978071,175
3926300.02665194,2264553.25732479,2586.00806533509,1256
3927151.09063146,2265489.43020672,1744.86864505889,192
3928448.03573842,2267281.51067374,3124.97785710467,1752
3924318.62890595,2267508.07124236,2178.73255645836,310
3923982.20862459,2266800.32304938,0,0
3925503.10507097,2266456.75531361,197.965416262272,498
3963091.31591503,2240137.26670006,2209.22233759379,602
3963022.35535191,2239950.24522798,2749.73878016972,1979
3962404.55032097,2239871.89701015,2526.6276719672,81
3962035.60887345,2240521.20506298,1979.71237922304,58
3962662.53794086,2240909.66670952,1827.75136366677,28
3963138.26116932,2241514.42381595,3101.87196195145,923
3964323.05925706,2241838.40367579,2144.60902631473,295
3964156.56178893,2242651.84549234,2084.07192290241,15
3963762.35939812,2242369.64342071,1147.34007947761,54
3963934.89077696,2242901.50037916,5232.72181128075,478
3967220.91249037,2242271.34637554,4080.21036512114,337
3963260.85283884,2240868.17110758,1892.308347667,961
3961374.26084145,2242283.00927803,2599.33748177939,3687
3961516.01644746,2241680.22696138,2004.47647088501,123
3922655.75919422,2287501.17575474,1371,0
3972054.44640121,2251397.52265652,5007,0
3963574.04628447,2262544.07670882,3381,0
3942238.34464137,2285663.88662118,1879.78021978022,0
3945994.8831617,2284054.88649639,3008.76923076923,0
3944845.36205332,2284584.90365897,2783.45054945055,0
3931053.91505351,2261980.09636145,5467,0
3933314.40519107,2284834.19415599,2529.31005481977,0
3932385.26172944,2283098.52874689,3116.11776186225,0
3931317.05803402,2284668.29583839,2451.57218331799,0
3912455.65636012,2274160.28491426,4044.45882791515,601
3908301.80572963,2277917.52694251,82.1416313337535,2218
3907328.13040657,2273569.87072352,0,707
3903112.76675004,2272406.04619152,0,4210
3910250.74810257,2275416.74121838,4045.63607580801,1277
3910890.54467014,2274532.31004373,3157.22339037987,1036
